What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
What percentage of one's net income should they save each year?	401(k); Saving Money; Personal Finance; 	I seem to find 10-15% of one's net income as the standard, however should 401K contributions be included as well in the calculation?  Would it be best to have more liquid cash on hand as opposed to completely saving towards a 401K?  Would a ratio of 50% total savings towards liquid cash and 50% total savings towards 401K be prudent?
What is the best .NET Application Server Monitoring Tool?	Web Development; Systems Engineering; Web Application Frameworks; System Administration; ASP.NET; Information and Communications Technology (ICT); .NET; Server Monitoring; 	Looking for something of similar capability as Fusion Reactor (http://www.fusion-reactor.com/fr/) with the ability to see what is literally happening inside the CLR / runtime.
What is the current net worth of the Catholic Church?	Catholics; How Much Is X Worth?; Net Worth; Catholicism; Religion; 	Some would say it is incalculable due to the sheer amount of hard-to-value assets like artwork and historical artificacts, but perhaps an estimate of the order of magnitude could be made?
What is annual revenue and net income of Heroku?	Heroku; Private Company Revenues; 	
What is the net present value of the planet Mars?	Mars (planet); Valuations; Curiosity Lands on Mars (August 2012); 	Given that the planet Mars was auctioned away tomorrow, how much could you bid and still run a profit on it in the long run?
What would be considered a "high" net worth for a 30-year-old?	Net Worth; High Net Worth Individuals; Wealth; 	This is a follow-up question to What would be considered a "high" net worth for a 20-year-old? [ http://www.quora.com/What-would-be-considered-a-high-net-worth-for-a-20-year-old ].
What would be considered a "high" net worth for a 40-year-old?	Wealth; Net Worth; 	This is a follow-up question to What would be considered a "high" net worth for a 30-year-old? [ http://www.quora.com/What-would-be-considered-a-high-net-worth-for-a-30-year-old ].
What is the best library to generate QR codes in .NET?	QR Codes; .NET; 	
What are good ways to improve .NET programming skills?	Self-Improvement; ASP.NET; Computer Programming; C# (programming language); .NET; Software Engineering; Learning to Program; Skills; 	
What's a good and cheap VideoConferencing API for .NET?	Video Conferencing; APIs; Streaming Content; Streaming Video; Computer Programming; 	We're looking for an API supporting MPEG4 or H264 streaming, bandwidth throttling, and software echo cancelling. (Like nefsis, but cheaper, or open.)
What companies have a net-positive impact on the environment?	Corporate Social Responsibility; Sustainability; 	Can you think of any companies that have turned their impact into a positive one?
What would be considered a "high" net worth for a 50-year-old?	Net Worth; Wealth; 	This is a follow-up question to What would be considered a "high" net worth for a 40-year-old? [ http://www.quora.com/What-would-be-considered-a-high-net-worth-for-a-40-year-old ].
What is the best way to learn .NET (for beginner)?	Microsoft; 	
What are some of the latest trends on the net to follow on Raspberry Pi?	Raspberry Pi; 	
What would you think of a startup if it had a .NET domain extension, instead of .COM?	Domain Names; Top-Level Domains; 	Would the brand value diminish if I did not have the .COM domain name ?
What is the reason Microsoft .NET framework is going down in usage?	Microsoft; .NET; ASP.NET; 	From some third party trends like BuiltWith, I have concluded that other big companies like Google and other giants along with open source are able to contain Micorosft .net platform of its popularity. Same way technically its a static language. With few frameworks in web as compared with PHP. Same way have less apps than Android for WP. ""SO where .net looks itself in next five years. "
What are the pros and cons of using .NET for your startup?	.NET; Startups; 	I'm a product manager that is considering a position at a newly formed startup that has chosen .NET as its technology of choice for a consumer product/server?  What problems can I expect to run into?  Relevant article from RWW: http://www.readwriteweb.com/start/2010/07/picking-the-right-programming-language-for-your-startup.php
What is the approximate net worth of the investors on Shark Tank?	Mark Cuban; Kevin O'Leary; Shark Tank (TV series); 	Mark Cuban, Robert Herjavec, Kevin O'Leary, Barbara Corcoran, Kevin Harrington, Daymond John
What has the net impact of labor unions been on the United States?	Labor Unions; Ludwig von Mises; Milton Friedman (economist); Economics; Education Reform and Disruption; U.S. Politics; Macroeconomics; 	Labor unions have had a thorny history with the Left usually supporting them and the Right opposing them. Has the cumulative impact been good or bad? Why so?
What is the cause of this error with the Bayes Net Toolbox for Matlab?	MATLAB; Bayesian Inference; Debugging; Math Problems; Specific Debugging Question; Bayesian Networks; 	I 'm new in learning the Bayes Net Toolbox for Matlab.  I have tried this:   > N = 4;   > dag = zeros( N, N );   > C = 1; S = 2; R = 3; W = 4;   > dag( C, [R S] ) = 1;   > dag( R, W ) = 1;   > dag( S, W ) = 1;   >    > discrete_nodes = 1:N;   > node_sizes = 2*ones(1,N);  >    > onodes = [];   > bNet = mk_bnet( dag, node_sizes, 'discrete', discrete_nodes, 'observed', onodes  );   >    > bNet.CPD{C} = tabular_CPD( bNet, C, 'CPT', [0.5 0.5] );   > bNet.CPD{R} = tabular_CPD( bNet, R, 'CPT', [0.8 0.2 0.2 0.8 ] );   > bNet.CPD{S} = tabular_CPD( bNet, S, 'CPT', [0.5 0.9 0.5 0.1] );   > bNet.CPD{W} = tabular_CPD( bNet, W, 'CPT', [1 0.1 0.1 0.01 0 0.9 0.9 0.99 ] );   >    > engine = jtree_inf_engine( bNet);   >    > evidence = cell( 1,N );   > evidence{W} = 2;   >    > [engine, loglik] = enter_evidence( engine, evidence );   >    > marg = marginal_nodes( engine, S );   > marg.T   > p = marg.T(2)   but it can't work, and it print:  > ??? Error using ==> reshape To RESHAPE the number of elements must not change.   > Error in ==> myreshape at 10 T = reshape(T, sizes(:)');   > Error in ==> tabular_CPD.tabular_CPD at 90 CPD.CPT = myreshape(T, fam_sz);   > Error in ==> bnet at 19 bNet.CPD{R} = tabular_CPD( bNet, R, 'CPT', [0.8 0.2 0.2 0.8 ] );   Can you tell me why? Thank you.
What's a modern way of saying "surfing the net?	Internet Slang; The Internet; 	You know, when you're mindlessly browsing the web, looking at pictures of Facebook and then youtube videos, etc. etc.
What retail items have net margins of 15%-30%?	Retail; 	
What are some good online programming websites to practice for .NET?	Learning to Program; ASP.NET; C# (programming language); Programming Languages; Computer Programming; .NET; 	like www.codecademy.com/ :html js css       www.udacity.com : python
What is the total net worth of the Forbes 400?	Wealthy People and Families; Distribution of Wealth; Forbes 400; Wealth; Billionaires; Net Worth; 	See http://www.forbes.com/forbes-400/list/
###
What are some nice residential areas at 30-45 min driving distance from Gachibowli and, How much does it cost to rent a 2bhk flat there?	Best Places to Live; Hyderabad, Andhra Pradesh, India; 	
What are the best cities/areas to rent a house with a group of 5  (+) do-good entrepreneur types that are within 30 min driving distance to San Francisco? 	San Francisco Bay Area; 	What are your personal reasons for thinking so?  Strong opinions and unusual answers are welcomed.  Are there any good reasons to live in South San Francisco, Hayward, Oakland, Burlingame or Pacifica? I know nothing about these places other than the fact that rents are lower.  Good things: affordable, views, nature (trees, water), access to freeways, and the usual (stuff to do, good people, shopping, gyms, restaurants, safe, tons of 5 stars on yelp, etc)
How much it costs to rent a 1BHK flat in Pune?	Real Estate India; Real Estate in Pune; University of Pune; Pune, Maharashtra, India; 	please name area and likely cost
How long should a webinar last? 30, 45 or 60 mins including Q&A?	Inbound Marketing; Webinars; 	
Toni Alenyar : How much does it cost to rent a flat in or near Cala Ratjata?	Direct Question; 	
How much would it cost to rent a car and drive from Belgium to Italy as a vacation?	Tourism; Travel Advice; International Travel; Travel; 	Fuel cost in that part of the world? Average rental car (2 people) cost? Is it even a good idea? What would you recommend as boarding options? AirBNB?
How much would it cost to rent a car in Las Vegas and drive to LA?	Rental Cars; Las Vegas; Cars and Automobiles; Los Angeles; Travel; 	Total cost including gas, etc.
Am looking to relocate in a few years to the Durango area. How much is the cost of living? What is average rent? How are the schools? Any info would be great!	Durango, CO; Relocation; 	
How much does it cost to rent a yacht?	Yachts; Rentals; 	
How much does it cost to fix a flat (leaking) tire?	Mechanics; Flat Tires; Tires; Auto Repair; Cars and Automobiles; 	Patch up a tire?
:)How much does it cost to build a flat panel tv	Sony (company); Television; 	For big companies like Sony, vizio, etc
How much does adsl flat connection cost in Canada?	Internet Service Providers; Communication; 	Can you give me a full list of ISPs? I mean average monthly fees. Am I limited with GBs I can download?
How much is the average rent in Luxembourg? And what is the cost of living there?	Luxembourg; 	
What are the best 45 min - 1.5 hour tv shows?	Television Series; 	ala Curb, something that I can watch and love but not get so sucked into that I don't do anything else until I watch all the other episodes
What are the best BBQ joints in or near (45 mins or less) Houston, TX?	Food in Houston, TX; Barbecue; Houston, TX; 	This is a follow-up question to What are the top 5 restaurants in Houston, TX? [ http://www.quora.com/What-are-the-top-5-restaurants-in-Houston-TX ].
How much does it cost to rent an RV for Burning Man ?	Burning Man; Recreational Vehicles; Burning Man Tips, Hacks, & FAQ; 	For the whole week? For the weekend? My parents want to go.
How much does it cost to rent an apartment in Mexico City?	Real Estate; Mexico; Apartment Rentals; 	In a good area, preferably near the area where startups are working.
How much did it cost to rent a VHS of a movie in 1983?	Home Video and Movie Rental; VHS; Movies; How Much Does X Cost?; 	This is a follow up to VHS: How much did a VHS tape of Blade Runner cost in 1983? [ http://www.quora.com/VHS/How-much-did-a-VHS-tape-of-Blade-Runner-cost-in-1983 ]
How much does it cost to rent Disneyland for a day?	Disneyland; 	
How does a facebook post reach the person does it extend along time? One of my post reached around 45 people in an hour and the consecutive post reached 45 people in 10 mins, What is the theory behind this post?	Facebook Platform; Facebook Inc. (company); Facebook Engineering; Marketing on Facebook; Facebook; Facebook Pages; Facebook India; Facebook Ads; 	I have already read the Reverse Engineering Facebook EdgeRank - Beyond the Theory [ http://www.baekdal.com/analysis/reverse-engineering-facebook-edgerank-beyond-the-theory ] by Baekdal so i need a clear and precise answer that exactly explains the process behind this organic reach.
What is the best 30 min. fitness workout for a teenager?	Teenagers and Teenage Years; Health and Wellness; Fitness; Quick Workouts; Tips and Hacks for Everyday Life; Workouts; 	I'm 17 years old and reasonably fit & healthy. I have a maximum of 30 minutes to spare per day. So list any workouts that will help me stay fit - and simultaneously, increase muscle mass and/or maintain a level of fitness.  For the last month, I've been following a laid back routine - 25 push-ups+sit-ups+crunches per day. I used to do close to 100, when I was preparing for my black-belt test, but I was pretty busy after that and fitness took a back seat...  Presently, I'm 5'8" (172.72 cm) and weigh 132 lb (60 kg). Is that healthy?  More info -  Energetic? - Yes, I can play Basketball for 3 hours and get reasonably tired. Positive/Confident? - Yup. I'm really enthusiastic and hard-working. Health issues? - Nope. Except for dust & rapid temperature change allergies. Other - I am vegetarian and eat healthy, home made food, usually. I sleep 7 hours a day. I exercise 15 minutes and play basketball, sometimes, for 60+ minutes. I'm pretty busy with college stuff and I've realised my old routine wasn't helping that much. My arms and legs feel weaker though, after stopping the black-belt routine. Maybe they're connected? How would I get back on track by doing a variety of exercises, but in 30 minutes?  Thanks!
What is a good 30 min workout for beginners?	Fitness; Exercise; 	A little cardio here, a little strength training there.. What advice would you give a beginner who has never set foot in a gym (willing to try) but wants to start a regular workout routine to get in shape?
About how much does it cost to get a flat paint job on a car?	Car Paint; Cars and Automobiles; 	
How much does it cost to transfer 1 TB a distance of 1 mile?	Data Transfer; Broadband; Data; 	In US Dollars. Assume that it is a straight shot over an optical fiber line.  Don't include cost of equipment upkeep, initial capital expenditure, etc. I'm looking for the raw cost of electricity used to transfer the data.
How much would gas cost to drive from SF to NY?	Fuels; New York City; Travel; San Francisco; Driving; Gasoline; 	The trip would be in a small-ish sedan?
How much does it cost to test drive a Tesla?	Tesla Motors Inc.; Tesla Roadster; 	Extra points for a history of cost over time. For example, at one point when Teslas were brand new, I heard a test drive cost $5,000.
How much do Fusion-io drives cost?	Computer Memory; Computer Storage Media; Fusion-io; 	
How much does it cost to rent a movie theater in San Francisco?	San Francisco; Movie Theatres in the Bay Area; Movie Theaters; 	I'd love to rent the Roxie in the Mission, but I'm open to other options.  Also, please specify cost based on auditorium size, and time/day, if variable.
How much would an average studio apartment cost to rent in Santa Monica?	Santa Monica, CA; Rentals; Apartment Rentals; Los Angeles; 	
How much it will cost to rent a small office in Dubai for a year?	Offices; United Arab Emirates (UAE); Dubai, United Arab Emirates; 	Start up cash flow, so something simple for 5 people maximum, standard offices requirements. offices can be shared, services, copier, etc.
How much does it cost per month to rent a small office in Hyderabad, India?	Hyderabad, Andhra Pradesh, India; Startups in Hyderabad; 	Office would ideally include a desk and Internet connection. Thanks !
How much does it cost to rent store space in the Atlanta airport?	Price of Things; Atlanta, GA; Airports; Hartsfield Jackson; 	
How much does it cost to rent a meeting room at MaRS Discovery District?	MaRS Discovery District; University of Toronto; Toronto, ON; 	
How much does it cost to rent an IMAX camera? (per day/ week)	Film Cameras; IMAX; Movie Making; 	
How much does it cost to rent a bike all day in Virginia Beach?	Virginia; Renting (a home); 	And does it come with a bike lock, or do you have to provide your own?
How much does it cost to rent a 4 bedroom house in Silicon Valley?	Real Estate; Silicon Valley; Silicon Valley Housing and Residential Life; 	
On average, how much does it cost to rent electronic billboards by market?	Print Advertising; Marketing; Display Advertising; Billboards; Electronic Billboards; Advertising and Advertisements; Traditional Media Business; 	Los Angeles Market?  World Wide?  Obviously it varies, but Id be interested to hear about some personal experiences.
How much does a one bedroom condo on Toronto's Harborfront cost to rent?	Real Estate in Toronto; Toronto, ON; Condominiums; 	
Which bedroom concepts (with double beds) would you suggest for a 2BHK flat?	Survey Questions; Bedroom; Furniture; Beds and Mattresses; 	
How much does the hardware that facilitates autonomous driving cost and what will those costs look like in the future?	Autonomous Driving; Google Self-Driving Cars; Cars and Automobiles; 	
What's the most expensive residential area in India?	India; 	
What is the current per square feet cost of residential land in various areas of Bangalore?	Real Estate in Bangalore; Bengaluru, Karnataka, India; 	
What's a nice, safe area of Silicon Valley to live for someone who likes to be within walking distance of the fun stuff?	San Jose, CA; 	My gf and I are moving to San Jose from the east coast to work and are looking for a good place to live. We enjoy going out to eat and having a good time but want to live some place within walking distance of these places. Any good suggestions for a nice, safe and fun area to live. I'm thinking downtown Mountain View (have only seen shitty apartments there), San Jose, or Campbell. Let me know your thoughts.
What is the cost of a new ~45 foot Swan yacht?	Yachts; Yachting; 	
How much would it cost to sit down and talk with Morgan Freeman for 30 minutes?	Morgan Freeman (actor); 	
Financial Advice: $96k salary, moving to Bay Area, how much should I pay for rent, should I rent a 1br or 2br (with a sublet)?	Personal Finance; 	Here's my situation: -single, no dependents -moving to Bay Area (near San Jose)  Monthly Income (pre tax): -$8000  Monthly Expenses Estimate (excluding rent): -$1000 restaurants/groceries -$1000 loan repayment -$600 phone/internet/gym/insurance/gas  How much should I spend on rent? I've narrowed it down to either a Studio/1-Bedroom or a two bedroom where I would sublet the second bedroom. Any advice about which one I should choose?  Also, any other advice about my general financial planning would be greatly appreciated.  Thanks!
How much more does a steel and glass residential apartment building cost to build than a concrete/brick structure?	Buildings; Real Estate; Construction; Civil Engineering; Residential Construction; 	As someone who vastly prefers to live in housing that offers maximal window space, I often wonder why all new urban residential complexes are not steel and glass so as to offer as much natural light and viewing area as possible.  I assume that it is because the construction method is substantially more expensive and buyer willingness to pay is not high enough to meet the price point that would be implied.  Does anyone know how much of a cost premium (e.g. 25% more expensive, or $ per square foot more, perhaps) is typically associated with a building of this type, relative to buildings like those typically seen in a major branded development that is more traditional construction with smaller windows, like Avalon, etc?
What's a reasonable rent for a one bed flat in Dublin?	Rent; Dublin, Ireland; 	
What's the best way to find a flat to rent in Milan?	Milan, Italy; Renting (a home); 	I'm moving to Milan from San Francisco for a year-long Master's starting September 2012. Milan seems to lack any comprehensive online listings. Any advice for someone hunting remotely?
What is the best way to rent a flat in New York?	Apartment Rentals; New York City; 	I'm looking for the best way to search for a flat in New York, both: remotely and physically being there. Have any suggestions?
What is the rent for a flat in Tbilissi? And could you tell me more about life in Tbilissi?	Survey Questions; Tbilisi, Georgia; 	I plan to work in Tbilissi as a freelance journalist in a few month. I still hesitate between Bakou and Tbilissi, so if you can give me arguments for Tbilissi...
How much does a family of three need as monthly expenses (rent, food,internet, insurance etc.) in Nice, France?	Expenses; Nice, France; France; 	
How much does it cost to live in London as a student? Rent, college classes, food cost, public transport...	London, UK; 	
What are some good ex-pat pubs in Hong Kong for the 30 to 45 crowd?	Hong Kong; 	
What car does Ashton Kutcher 's character drive on Two and a Half Men and how much does it cost?	Ashton Kutcher; Two and a Half Men (TV series); 	
How much would it cost to build an artificial mountain on top of flat land that would become a great ski resort?	Ski Resorts; Construction; Structural Engineering; Mountains; Skiing; Cost Estimates; 	This would be outdoors. It would be somewhere near a population center. Etc. How many acres would be needed? What would construction costs be like?
What are the best vacation places within driving distance of the San Francisco Bay Area ?	Bay Area Vacations; San Francisco Bay Area; 	
What's the best way to rent a car around the NYC area to drive out of state (VT) for a weekend?	New York City; Tourism; Rental Cars; 	Zipcar is good for just a few hours but for a full day they're expensive. Other sites like Hertz and Enterprise are much more expensive renting in NYC per day vs in NJ or out in Queens. What would be the best location to rent from that's still a reasonable distance from NYC?
How much does it cost to recover information from a crashed hard drive?	MacBook Pro; Hard Disk Drives (HDD); Data Recovery; 	From a MacBook Pro
How much do those huge drive-up ice-vending machines cost?	Vending Machines; Business; Ice; 	I looked into this a while back and got quoted $70K, but I'm guessing that's the stupid money price.  What price are people who actually do this for a living getting?
Why does it cost so much to rent office space in london?	London, UK; Leasing Office Space; Real Estate; 	
How does rent in NYC vary by areas?	Renting in New York City; Real Estate; New York City; 	I was just checking out some apartments (studios and 1 bedroom apartments) and I was shocked to find that in the Financial District you can find a pretty modern apartment for anywhere between $2300-$3,000 whereas to get that same kind of luxury apartment in Flatiron it would cost $5,000+.  Some of the apartments I checked out in the Flatiron district and Chelsea were quite small and ugly and they wanted $4k - $5K! I would rather go downtown.    Why is that? Is it because of the location?
What is the price of residential solar in the Bay Area?	Alternative Energy; Sustainable Technology; San Francisco Bay Area; 	Per watt, installed.
What are some promising residential (upcoming) areas in and around Chennai?	Chennai, Tamil Nadu, India; 	Considering infrastructure, access to amenities, traffic etc.? Please give your reasoning too.
What is the best way to purchase NYC residential real estate in order to rent it out?	New York City; Real Estate in New York City; Manhattan (NYC borough); Residential Real Estate; Real Estate; Real Estate Investing; Real Estate Agents; 	One of my family friends wants to purchase residential real estate in NYC (specifically Manhattan) for two reasons. First, he thinks he can still find some good deals in the city and wait for any potential property to appreciate in value. In the meantime, he wants to rent it out so he can generate cash on a monthly basis.   So the two questions are:  1. How to find the good real estate in NYC? Criteria include value, location, and quality.  2. What is the best methodology for renting the apartment out? Is there some sort of managed service that will take care of everything for x% of rental income? Or will he have to maintain the apartment himself?  Any thoughts would be appreciated.
How much it cost to move from  Los Angles to bay area?	Moving; 	
How much does it cost to raise a child in the SF Bay Area?	How Much Does X Cost?; Children; San Francisco Bay Area; Cost Of Living; Parenting; 	
How much would it cost to relocate a family of 4 from LA to the Bay Area (approximately)?	How Much Does X Cost?; San Francisco Bay Area; Moving; Los Angeles; Relocation; 	If my company is going to let a new hire expense relocation, what's the range of how much should I expect that to be?
How much does it cost to open and operate a yoga studio in an urban area?	Vinyasa Yoga; Yoga; Bikram Yoga; Teaching Yoga; 	
How much would it cost me to offer free wifi in about an area about 50m squared?	Wi-Fi; Internet Service Providers; 	
How much does it cost to build a new house in the Palo Alto area?	Real Estate; Construction; Residential Construction; Architecture; Palo Alto, CA; 	single family, 3bd, 2 bath, 1500-2000sqft what is the cost of the building materials, architect services and construction labor, not including the cost of the land  (an average estimate for a typical low-end suburban home in a 5 miles radius of Palo Alto)? 
How much does a real estate lawyer in the Bay Area usually cost? Do you have any recommendations?	San Francisco Bay Area; Survey Questions; Real Estate Law; Real Estate; 	I'm planning to buy the house I'm currently renting.
How much should it cost to reupholster a large couch in the metro NYC area?	Upholstered Furniture; New York City; How Much Does X Cost?; Where Can I Find X in New York City?; 	
How much does it cost to hire a full-time nanny in the Bay Area?	Nanny Share; Parenting; Infants; Babies; Nannies; 	Assuming that care for an infant is involved
How much do Sylvan after-school tutoring programs cost in the Bay Area?	San Francisco Bay Area; Sylvan Learning Center; Tutoring; 	
How much does it cost to become a taxi driver in the Bay Area?	Taxis; 	
What are Nearline SAS drives, and how do they differ in cost from SATA drives?	Data Storage; Hard Disk Drives (HDD); 	
How much should I have at age 30?	Self-Esteem; 	
How can I rent a flat in the Brunswick Centre, in Bloomsbury, London?	London, UK; 	And how much might I expect to pay?
How/where can we rent a flat for a week in Lisbon Portugal?	Lisbon; Portugal; 	We're staying for a week in Lisbon end of this month and would rather have a place where we can cook etc.
Is there a described GIS method for creating catchment areas based on nearest driving distance?	ArcGIS; Geographic Information Systems (GIS); Spatial Data; Maps; MapInfo; 	ie. a combination of Voronoi polygons with isochrones, so that the Voronoi polygons are based on driving distance instead of Euclidean distance.
Where do you rent large displays for trade shows and conferences, and how much should a one-day rental cost?	Trade Shows; Marketing; Conferences and Conventions; Product Marketing; 	
How much does it cost to rent a 500 sq foot office in Rio de Janeiro?	Real Estate; Rio de Janeiro; 	I'd like a range of costs - by different parts of town.  Estimates are great!
How much would it cost to rent and live on a boat parked near Nariman Point in Bombay?	Boats; Houseboating and Houseboats; Yachts; Mumbai; 	My friend has recently gotten a job in Nariman Point. He hates to travel by road and the public transport in Mumbai can be scary for outsiders. I suggested that he rent a boat parked near Nariman Point, and stay in it. He can also take short trips to alibaug and nearby places. I think it would be an awesome life, and the only thing stopping him from going ahead with it is the cost of such an arrangement. Can anyone here help us understand the financial feasibility of this plan?
How much does it cost to rent out the AT&T ballpark in San Francisco for a music concert on a Saturday night?	AT&T Park; Venues; Real Estate; Sports Venues; 	E.g. for Paul McCartney's concert on 7/10/2010. 
How much does it cost and where can I rent a snow-making machine for a party around Los Angeles?	Snow Machines; Snow Making; Los Angeles; 	And does it work?  "Real" snow... not bubbles...
How much does it cost to rent a retail/event-type space near the conference center in Austin TX during SxSW?	Real Estate; Event Planning; SXSW; Austin, TX; 	For SxSW 2011, Sony rented a former bar on the corner of Trinity/Willie Nelson Blvd. AOL/TechCrunch rented a live/work on San Jacinto/5th St. Pure Volume took residence in an events space at Trinity/5th.  I'm wondering how much it costs to rent these kinds of places for the duration of SxSW?
How much does it cost to rent out a movie theater in New York, Los Angeles, Chicago, and San Francisco?	How Much Does X Cost?; New York City; Movie Theaters; Los Angeles; 	This would be for a new release.  Thank you!
What is Gachibowli (Hyderabad, Andhra Pradesh, India) famous for?	Gachibowli, Hyderabad; Hyderabad, Andhra Pradesh, India; 	
How much should I expect to spend on rent in the San Francisco SOMA area for a months stay?	SoMa (San Francisco neighborhood); Startups; 	I would like to visit the San Francisco SOMA area for a month to get a feel of the tech scene and if I like it or not. How much would I need to save for a months stay. It could be in a hotel or an apartment. Its just gonna be me traveling so a very simple 1 bedroom place that I could have to myself would be fine. Also is the SOMA area the best place to stay to meet other startup people?
As a real estate agent, would you be interested to know who in your area is looking to buy or rent? And if yes, how much would you pay for each lead?	Real Estate; Survey Questions; 	Is there room left in real estate industry for more disruption in lead generation?
What is COBRA and how much does it cost?	Medicine and Healthcare; Startups; Startup Compensation; Health Insurance; 	I have a high level understand but would like to understand what I need to do to elect COBRA, how long it would last, what criteria must be met, and what it might cost.
What are some fun things to do on weekday afternoons within 30 minutes of Mountain View with 45 co-workers ranging between 22 and 45 years old?	Mountain View, CA; San Francisco Bay Area; Things to Do in California; What Are Some Fun Things to Do In X; Cupertino, CA; Fun; Sunnyvale, CA; Silicon Valley; Peninsula (Bay Area); South Bay (San Francisco Bay Area); Palo Alto, CA; 	We're looking to do an offsite with our department and are looking for something fun to do nearby Mountain View, ideally not centered around food (though interactive food activities like Sushi making could work).
How much would a 30 GB drive on ReadyBoost help boost up speeds on a computer with 4 GB RAM?	Memory; Windows ReadyBoost; 	
Where is the best place to rent a 4x4 to drive from the Bay Area to Lake Tahoe?	Lake Tahoe; Driving Between SF/Bay Area & Lake Tahoe; 	
How long does it really take to prep and cook a Rachel Ray "30 min." recipe, including cleanup and washing dishes afterwards?	Food; Cooking; 	
How can I recite bhagwat gita by heart having 30 mins in morning and evening each day to spare?	The Bhagavad Gita; 	
What is the best way to find a flat to rent for the summer in Dhaka, Bangladesh?	Travel; Bangladesh; South East Asia; Housing; Rentals; 	
What is the best website to find a flat for rent in San Francisco?	San Francisco; 	I will move to San Francisco on June. Any advice about how to find a flat, I mean, not very expensive
What is low-cost, flat fee recruitment?	Startup Recruiting; 	Are there any low-cost recruitment solutions for startups, or something that charges a flat fee for recruitment?
How much does really nice packaging cost companies like Apple, Gucci and Louis Vuitton?	Package Design; Gucci; Apple Inc.; Louis Vuitton; Packaging and Containers; 	On a per item basis.
How much does a product placement (say, for Snapple) in a prime time show (say, 30 Rock) cost?	Product Placement; 	
How much does it cost to set up a 10,000 sq ft office with mid-range furniture for 30 people, for a series A company?	Office Locations; Startup Founders and Entrepreneurs; Manufacturing; Small Businesses; Office Equipment; Team Building; Lean Startups; Entrepreneurship; Beijing Startups; Startups; Real Estate; Small Business Advice ; Business Models; Commercial Real Estate; Business Strategy; Startup Advice and Strategy; Pivoting (business strategy); Offices; Startup Business Models; Human Resources; Startup Offices, Furniture, and Real Estate; Venture Capital; Furniture; 	Fridge in the kitchen? Conference table? Chairs? Desks? Ping pong table? All the other stuff?
How much should it cost to install Sharepoint Foundation on a networked Exchange server (30 users) including training for 2?	SharePoint; 	
The angles of depression of the top and the bottom of an 8 m tall building from the top of a multi storeyed building are 30' and 45' respectively. Find the height of the multi storeyed building and the distance between the two buildings?	Mathematics; 	
Intro Set Theory: A has 30 elements, B has 40 elements, their union has 45 elements. How many elements are in the intersection of A and B?	Teaching Mathematics; Set Theory; Mathematics; 	How many elements are in the intersection? Ths question was in the pre cal book I'm teaching out of, but we don't have an answer key. I keep getting 35, which is more than the elements in A. I'm probably having an off day, but can someone help me out?
What is a good distance for a 1 wood drive?	Golf; 	I have been learning golf for the past 3 weeks and am currently practising my 1 wood drive. I wanted to know what is a good distance to hit for someone who has been learning for 3 weeks.
How much harder is it to run uphill than on the flat?	Orienteering; Running; Exercise Physiology; 	For example in terms of energy depletion, metabolite accumulation and perception
How much higher would the horizon be if the world was flat (and infinite)?	Limits; Vision (eyesight); Geometry; Analysis (mathematical); 	
How easy is it to find an apartment with young (20-something) housemates in Kunming? How much (USD) does it cost to rent be in an apartment close to Yunnan University with housemates?	Kunming, Yunnan, China; China; 	I was recently accepted to Yunnan University for their year long Chinese language program (yay!). I'm not interested in living in a dorm. I wondering how easy it is to find apartments for rent near the university, preferably with 20 - 30 year old housemates. Additionally, I'd be interested in about how much (USD) it would cost to live near the university in a decent apartment with 1 - 2 housemates. Any insights into either of those questions, or to the process of procuring an apartment in Kunming is greatly appreciated. Thank you in advance!
How is Dubai divided i.e. where are the cultural/business/retail/residential areas?	United Arab Emirates (UAE); Cities and Metro Areas; Dubai, United Arab Emirates; Urban Planning; Public Space; 	Links to the best resources that can help me to learn more about the city's make-up and residents would be very helpful
How do I stop/reverse the conversion of residential parking areas to metered parking in my neighborhood?	Urban Planning; 	More and more residential parking spots are converted to metered parking. It's getting really hard to find parking.
How long does it take to rent an apartment in the Bay Area?	San Francisco Bay Area; Rentals; 	Let's say you land at SFO on Day 1 and have not done any research.  How long does it take to a) find an apartment, b) negotiate terms, c) sign the papers, etc.  From Day 1, how many days will it take until I can move in?
What's the best technical skill I can learn in 30 to 45 days with which I can charge customers and make a living?	Freelancing; Business; Breaking Into Programming and Software Engineering; Learning; Entrepreneurship; Creative People and Artists; Self-Teaching; Online Education; 	I obviously won't become an expert in 45 days, but I'd only need to become expert enough to charge potential customers with a service or a product. Thoughts?
For a normal person who pays 30% of his salary on house rent, 20% on girlfriend, 30% on living, 10% on friends, and just saves 10% of the monthly salary, is it possible to buy a 3BHK flat in Bandra?	Housing; Culture of India; Housing Bubbles; India; Mumbai; Bandra; Needs to Be Clearer; Apartment Rentals; Indian People; 	
What was the impact of Google's IPO on the Bay Area's residential real estate?	Real Estate; Google; Silicon Valley; Facebook IPO; Silicon Valley Real Estate; Initial Public Offerings; 	
Over a 30 year period, is it generally cheaper to rent or to buy a house in the SF Bay Area?	Home Ownership; San Francisco Bay Area; Real Estate; Investing; Mortgages; 	Given the high price of housing in the area, it is not clear whether the price of rent exceeds that of mortgage interest, property taxes, and lack of flexibility.
